Doctor Name,Degree(s),Affiliated Hospital Name,Affiliated Hospital Address
"Addo, Maxwell Emmanuel","B.D.S (U.G.D.S),MSc. Clinical Dentistry (Univ. of London)",UGDS,"P. O. Box KB 464, Korle-Bu, Accra"
"Addo, Naa Adoley","Accra Psychiatric Hospital, Accra",Accra Psychiatric Hospital,
"Addo, Nii Akwei","M.B., Ch.B (U.G.M.S),Dip. in Venerology & Genito-Urinary Med. (Univ. of Lpl),M.P.H (UG)",NACP,"P. O. Box KB 493, Korle-Bu, Accra"
"Addo, Samuel",B.D.S (U.G.D.S),Life Health Care,
"Addo, Samuel","M.B., Ch.B. (KNUST-SMS),M.G.C.S (MGCPS)",Dept. of Obs/Gyn,"P. O. Box 1934, Kumasi"
"Addo, Samuel",B.D.S (U.G.D.S),Bethel Dental Clinic,"P. O. Box CT 2271, Cantonments, Accra"
"Addo, Stephen Ayisi","M.B., Ch.B (U.G.M.S),M.P.H UG)",NACP,"P. O. Box KB 493, Korle-Bu, Accra."
"Addo, Wilfred Labi","M.B., Ch.B ((KNUST-SMS),Sp. Cert. Surgery (State Med. Brd Saarland, Germany)",St. Joseph’s Hospital,"P. O. Box KF 40, Koforidua"
"Addo, Yvonne","M.B., Ch.B (KNUST-SMS)",Dept. of Child Health,"P. O. Box KS 1934, Kumasi"
"Addom, Selasie Nana Ama","M.B., Ch.B (U.G.M.S)",Dept of Psychiatry,
"Addotey, Sylvanus Nii Lomotey","M.B., Ch.B (U.G.M.S)",Nyaho Medical Centre,"P. O. Box AN 5224, Accra"
"Addy Boamah, Akua","M.B., Ch.B (KNUST-SMS)",,
"Addy, Rudolph Obo","M.B., Ch.B (U.G.M.S),Psychiatry (American Board of Psychiatry & Neurology),Clinical Neurophysiology (Am. Board of Clinical Neuro.),Sleep Medicine (Am. Board of Psychiatry & Neurology)",New Life Hospital,"P. O. Box 452, Nsawam"
"Addy, Seth Nii","M.B., Ch.B (UGMS)",Raboni Christina Hospital,"P. O. Box 416, Tarkwa"
"Adeb, Edward Adi-Mangka",M.B.B.S (Sheyang Medical College),Paga Health Centre,"P. O. Box 21, Paga"
"Adebayo, Tunde Ibrahim M.","M.B., Ch.B (U.G.M.S)",SIC Bob Freeman Clinic,
"Adedze, Davies Kofie","M.B., Ch.B (U.G.M.S ),M.R.C.O.G (RCOG, UK)",37 Military Hospital,
"Adefarakan, Shina Joseph","M.B., Ch.B (U.G.-S.M.D)",Primecare Medical Centre,
"Adei, Eunice Adwoa Pomaa","M.B., Ch.B (Univ. of Cape Town),M.P.H (UG),M.W.A.C.P, Paediatrics (WACP),F.W.A.C.P. (W.A.C.P.)",Dept of Child Health,
"Adenuga, Bayo Yusuf","B.D.S (Univ. Ibadan, Nigeria),M.P.H. (Univ. Of Ibadan)",Mampong Municipal Hospital,
"Adeyiga, Georgetta","M.B., Ch.B. – (UDS-SMHS)",Shukura Comm. Hospital,"P. O. Box KB 660, Accra"
"Adiepena, Charles Kweku","M.B., Ch.B (UGMS)",Ho Municipal Hospital,
"Adiepena, David Oscar Kwasi","M.B., Ch.B (UGMS),F.W.A.C.S (WACS)",,"P. O. Box CT 8499, Cantonments, Accra."
"Adigah, Boniface Wedam","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Cocoa Clinic,"P. O. Box 933, Accra"
"Adika, Patrick Kwame",M.D (Moscow Med. Academy),Ho Municipal Hospital,"P. O. Box 49, Ho, Volta Region."
"Adiku-Tsowu, Edward","M.B., Ch.B. (UDS-SMHS)",St. John of God Hospital,"P. O. Box 24, Duayaw-Nkwanta"
"Adinkra-Kyeremeh, Richard","M. B., Ch.B. (UDS-SMHS)",Tain District Hospital,
"Adinkrah, Emmanuel Kwamla","M.B., Ch.B (Univ. of Manchester)",City Hospital,"P. O. Box 1620, Kumasi"
"Adinku, Michael Ofoe","M.B., Ch.B (KNUST-SMS)",Dept. of Surgery,"P. O. Box KS 1934, Kumasi"
"Adinku, Penelope Baaba Tettey","M.B., Ch.B (KNUST-SMS)",,"P. O. Box OS 2998, Accra"
"Adjabeng, Magdalene Teiko","M.B., Ch.B (KNUST-SMS)",,"P. O. Box 844, Teshie Nungua Estates, Accra"
"Adjabeng, Nana Ama Efurma","M.B., Ch.B (KNUST-SMS),",USAID,
"Adjadja, koudjo","M.D (Univ. of Dakar, Senegal)",Frontier Clinic,
"Adjapong, Akua Nketiah","M. B., Ch.B (KNUST-SMS)",,"P. O. Box AF 1749, Adenta"
"Adjapong, Alfred Duah","M.B., Ch.B (KNUST-SMS)",Dexter Medical Centre,"P. O. Box 2514, Sunyani"
"Adjase, Emmanuel Teye","M.D. (Kharkov State Med. Inst., Ukraine),M.P.H (Royal Trop. Inst., Amsterdam)",Rural Health Training Sch.,"P. O. Box 9, Kintampo"
"Adjaye, Nellie Turbyne","M.B.B.S. (Univ. Of.London),F.R.C.P. (R.C.P. )London,F.R.C.P & CH (R.C.P.CH),F.G.C.P. (G.C.P.S.)",,
"Adjei Donkor, Akwasi Gilbert","M.B., Ch.B (KNUST-SMS)",S.D.A. Hospital,
"Adjei Frempong, Peter","M.B., Ch.B. (KNUST-SMS)",Dept. of Obst/Gyn,"P. O. Box 1934, Kumasi."
"Adjei-Amponsah, Daniel","M.B., Ch.B. (UDS-SMHS)",Holy Family Hospital,"P. O. Box 36, Techiman"
"Adjei-Kwayisi, Afua Ohenewa","M. B., Ch.B ((KNUST-SMS)",Ridge Regional Hospital,
"Adjei-Manu, Kwaku Asiedu","M.D. (Belgorod State Univ, Russia)",BA Regional Hospital,"P. O. Box 27, Sunyani"
"Adjei-Mensah, Bernice",M.B.B.S. (Wenzhou Med. College),,"P. O. Box 1311, Adum-Kumasi"
"Adjei-Mensah, Evelyn","M.B., Ch.B (KNUST-SMS)",,
"Adjei-Yeboah, Anna","M.B., Ch.B. (KNUST-SMS)",Dept. of Radiology,"P. O. Box KS 1934, Kumasi"
"Adjei, Abraham","M.D (Tver Med. Inst.),M.W.A.C.P Internal Medicine (WACP)",Korle Bu Teaching Hospital,
"Adjei, Alexander","M. B., Ch.B ((KNUST-SMS),",Tetteh Quarshie Memorial Hospital,"P. O. Box 26, Mampong-"
"Adjei, Clement","M. B., Ch. B. (UCC-SMS)",Effia Nkwanta Regional Hospital,
"Adjei, Comfort Naa Narkie","M.B., Ch.B. (U.G.-S.M.D.)",Esikado Hospital,
"Adjei, Daniel","M.B., Ch.B (UG-SMD)",,"P. O. Box KB 1041 Korle-Bu, Accra"
"Adjei, Emmanuel Yaw","M.B., Ch.B (U.G.M.S)",St. Anthony’s Hospital,
"Adjei, Ernest Kwasi","M. B., Ch.B ((KNUST-SMS),F.R.C.P (R.C.P)",Dept of Pathology,"P. O. Box KS 1934, Kumasi"
"Adjei, Esther Naa Dede","M.B., Ch.B. (UDS-SMHS)",,"P. O. Box CT 5357, Accra"
"Adjei, Faisal","M.B., Ch.B. (U.G.M.S.)",,"P. O. Box MP 1679, Mamprobi, Accra"
"Adjei, Fedous","M.B., Ch.B. (KNUST-SMS)",St. Martin De Porres Hospital,
"Adjei, Frederick","M.B., Ch.B (KNUST-SMS)",University of Cape Coast Hospital,
"Adjei, George Obeng","M.D. (Med. Univ. of Gdansk, Poland)",School of Medicine and Dentistry,
"Adjei, Jonnie Randal",B.D.S (UGDS),St. Martins Hospital,
"Adjei, Kwaku Owusu","M.D. (Belgorod State Med., Univ.)",Hawa Memorial Saviour Hospital,
"Adjei, Kwame Senior","M. B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Adjei, Maxwell Kudzo","B.D.S (High. Inst. of Med. Sc., Cuba),Sp. Cert. in Maxillofacial Surg. (H.I.M.S., Cuba)",Ridge Hospital,"P. O. Box 473, Accra."
"Adjei, Michael Rockson","M. B., Ch.B ((KNUST-SMS)",Tain District Hospital,"P. O. Box 100, Nsawkaw"
"Adjei, Nicholas Kwabena","M. B., Ch.B (KNUST-SMS)",Dept. of Child Health,"P. O. Box 1934, Kumasi"
"Adjei, Patrick","M.B., Ch.B (U.G.M.S),M.W.A.C.P (WACP)",Dept. of Medicine,"P. O. Box 77, Korle-Bu, Accra"
"Adjei, Prosper","M.B., Ch.B. (KNUST-SMS)",Wenchi Methodist Hospital,"P. O. Box 55, Wechi"
"Adjei, Salome","M.B.B.S (South East University, China)",Salvation Army,
"Adjei, Samuel","M.B., Ch.B (KNUST-SMS)",Agogo Presby Hospital,"P. O. Box 27, Agogo"
"Adjei, Samuel Kwame","M.D. (M.D.. (Patrice Lumumba Univ., Russia),SP. in ENT (Univ. Bucharest Med. School, Romania)",37 Military Hospital,
"Adjei, Samuel Osei","M.B.B.S. (Sareyevo Univ., Yugoslavia",Oman Medical Centre,"P. O. Box 686, Koforidua"
"Adjei, Sowah","M.B., Ch.B (U.G.M.S)",Martin Mem. Hospital,
"Adjei, Stella Barnie","M.B., Ch.B (KNUST-SMS),M.G.C.P (GCPS),M.W.A.C.P (WACP)",Dept. of Child Heath,"P. O. Box KS 1934, Kumasi"
"Adjei, Timothy Kwabena","M. B., Ch.B ((KNUST-SMS)",Dept. of Obs/Gyn,"P. O. Box KS 1934, Kumasi"
"Adjeman, Josephine Jackukwa","M.B.B.S (Univ. of Nigeria, Nsuka, Nigeria)",Dept. of Child Health,
"Adjepon-Yamoah, Frances Mercy",B.D.S. (U.G.D.S),,"P. O. Box 251, Korle Bu, Accra"
"Adjepon-Yamoah, Kennth Kweku","M.B., Ch.B (University of Edin.),M.R.C.P. (R.C.P. UK),PhD (University of Edinburgh)",,"P. O. Box 4236, Accra"
"Adjepon-Yemoah, Frances Mercy",B.D.S. (U.G.D.S),,"P. O. Box 251, Korle Bu, Accra"
"Adjepong-Tandoh, Ernest Kwame","M.B., Ch.B. (U.G.M.S.)",Korle Bu Teaching Hosp,
"Adjepong, Michael Atta","M.B., Ch.B (KNUST-SMS),M.G.C.S. (GCPS)",Agogo Presby Hospital,"P. O. Box 27, Agogo"
"Adjepong, Patience","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Dept. of Anaesthesia,"P. O. KS 1934, Kumasi"
"Adjeso, Theophilus Justus","M. B., Ch.B ((KNUST-SMS),M.G.C.S (GCPS)",Tamale Teaching Hospital,"P. O. Box TL 16,Tamale"
"Adjetey, Naomi Dianne N. Adjeley","M.B., Ch.B (KNUST-SMS)",Dept. of Child Health,"P. O. Box KS 1934, Kumasi"
"Adjetey, Seth Adjei","M.B., Ch.B (KNUST-SMS)",37 Military Hospital,
"Adjetey, Vincent","M.B., ChB (U.G.M.S)",University of Cape Coast,
"Adjorlolo, Donald Setri","M.B., Ch.B (U.G.M.S)",KBTH,"P. O. Box 77, Korle-Bu, Accra"
"Adjormadoh, Akorfah","M.B., Ch.B (U.G.M.S)",Dept. of ENT,
"Adofo, Charles Kwame","M.B., Ch.B (KNUST-SMS),F.C.U.S.A (The College of Medicine of SA)",SDA Hospital,
"Adofo, Emmanuel","M.D. (People’s Friendship University, Russia Fed.),M.G.C.S (GCPS)",St. Dominic Hospital,
"Adogboba, Kwame Atangah",M.B.B.S (China Medical University),Korle Bu Teaching Hospital,
"Adom-Gabusu, Aikins K.","M.D. (Kharkov State Med. Inst.),Dip. in Trop. Med. Hygiene (Inst. of Trop. Med., Paris)",Gabasu Clinic,"P. O. Box 17, Kwesimintsim, Takoradi"
"Adom-Mensah, Ivy","M.B., Ch.B (KNUST-SMS)",KNUST Hospital,
"Adom, Gifty Afua Fosuah","M.B., Ch.B. (KNUST-SMS)",Eye Clinic,"P. O. Box KS 1934, Kumasi"
"Adom, Jonathan Nii Nortey","M.D (Stavropol State Med. Academy, Russia Fed.)",37 Military Hospital,
"Adoma, Janet Akua","M.B., Ch.B (KNUST-SMS),",Komfo Anokye Teaching Hospital,
"Adomako-Bamfi, Rita","M.B., Ch.B ((KNUST-SMS)",Indeph Network,"P. O. Box,584, Korle-Bu"
"Adomako-Boateng, Fred","M.B., Ch.B (KNUST-SMS),MSc. Public Health (UG),M.W.A.C.P (WACP),F.W.A.C.P (WACP)",Regional Health Dir.,"P. O. Box 1908, Kumasi"
"Adomako, Boakye-Yiadom","M.B., Ch.B (U.G.M.S)",Asankragwa Catholic Hospital,"P. O. Box 16, Asankragwa"
"Adomako, Eric Ameyaw","M.B., Ch.B (KNUST-SMS)",,"P. O. Box FW 47, Effiduase-K'dua"
"Adomako, Isaac","M.B., Ch.B (U.G.M.S)",Salvation Army Polyclinic,
"Adomako, Kwame Acheampong","M.B., B.S (Ahmadu Bello Univ. Zaria, Nigeria)",37 Military Hospital,
"Adomako, Paul Mensah","M.B., Ch.B (KNUST-SMS),M.G.C.P (GCPS)",Cocoa Clinic,"P. O. Box 933, Accra"
"Adomakoh, Chris Akwesi","M.B., Ch.B (U.G.M.S),MSc in Sport Medicine (Univ. of Nottingham, UK)",St. Andrews Clinic,
"Adow, Michael Kwaku","M.B., Ch.B (KNUST-SMS)",SDA Hospital,"P. O. Box 24, Wiamoase, Ashanti Region."
"Adrah, Henry Kwesi","M.B., Ch.B. (UG-SMD)",Korle Bu Teaching Hospital,
"Adu Boahen, Ama",M.D. (Piragov National Medical University),Kintampo South Hospital,
"Adu Fofie, Amma","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box 11163 Adum-Kumasi,"
"Adu Gyamfi, Rexford","M.B., Ch.B (UCC-SMS)",Presby Hospital,
"Adu-Ababio, Francis","B.D.S. (U.G.D.S),D.D.P.H, (R.C.S., Eng.),MSc. D.P.H, (Univ. London),F.D.S, (R.C.S., Eng.)",KNUST Dental,
"Adu-Adadey, Martin","M.B., Ch.B (U.G.M.S),M.W.A.C.P (WACP)",Nat. Cardiothoracic Center,"P. O. Box KB 846, Korle-Bu, Accra"
"Adu-Adjei, Rita",M.D. (Belgograd State Med. Univ.),Baptist Med. Centre,"P. O. Box 1, Abuakwa, Ashanti Region"
"Adu-Amankwaah, Jerry",M.D. – Sumy State University,Methodist Clinic,"P. O. Box 1956,Aburaso- Kumasi"
"Adu-Ampomah, Nana Frimpomah",B.D.S (U.G.D.S),Adabraka Polyclinic,
"Adu-Antwi, Michelle","M. B., Ch.B ((KNUST-SMS)",37 Military Hospital,
"Adu-Arko, Ampong Yaw","B.D.S (U.G.D.S),MSc. Restorative Dentistry (Univ. of Newcastle, UK),F.G.C.S (GCPS)",Dept. of Oral Health,"P. O. Box 1934, Kumasi"
"Adu-Aryee, Nii Armah","M.B., Ch.B (U.G.M.S)",Dept. of Surgery,
"Adu-Asare, Karin Gena","M.B., Ch.B. ( UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box 16, Tamale"
"Adu-Boakye, Eva","M.B., Ch.B (KNUST-SMS)",Dept. of Family Medicine,
"Adu-Boakye, Nathaniel Yaw","M.B., Ch.B. (KNUST-SMS)",Manhyia District Hospital,"P. O. Box KS 9861, Kumasi"
"Adu-Boakye, Yaw","M.B., Ch.B (KNUST-SMS)",Dept. of Medicine,"P. O. Box KS 1934, Kumasi"
"Adu-Bonsaffoh, Kwame","M.B., Ch.B (U.G.M.S)",Dept. of Obst./Gynae P,"P. O. Box KB 783, Korle-Bu, Accra"
"Adu-Dapaah, Eunice","M.B., Ch.B (UG-SMD)",,"P. O. Box 1599, Kumasi"
"Adu-Darko, Kwadwo Nyantakyi","M.B., Ch.B (KNUST-SMS)",Komfo Anokye Teaching Hospital,
"Adu-Darko, Michael","M.B., Ch.B (U.G.M.S),Dip. Ophthal. (RCS, Ireland),F.R.C.S (RCS, Edin)",Eye-Field Consult Ltd,"P. O. Box AH 9315, Ahensan-Kumasi"
"Adu-Darko, Michael Agyekum","M.B., Ch.B (U.G.M.S),",Health Net Airport Medical Center,
"Adu-Gyamfi, Akwasi","M.B., Ch.B (KNUST-SMS)",Dept. of Surgery,"P. O. Box KS 1934, Kumasi"
"Adu-Gyamfi, Kwaku","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box KS 1187, Kumasi"
"Adu-Gyamfi, Makowa Blay","M.B., Ch.B (University of Glasgow),D.P.H. (University of Glasgow)",,"P. O. Box 4084, Accra"
"Adu-Gyamfi, Raphael","M.B., Ch.B (U.G.M.S)",St. Francis Xavier Hospital,"P. O. Box 43, Assin Fosu"
"Adu-Gyamfi, Yaw","M.B., Ch.B (U.G.M.S),F.R.C.A. (R.C.S., Eng.),F.W.A.C.S. (W.A.C.S.)",,"P. O. Box 4084, Accra"
"Adu-Koranteng, Akosua","M.B., Ch.B (KNUST-SMS)",,"P. O. Box NT 566, Accra New Town"
"Adu-Nsiah, Thomas","M. B., Ch.B ((KNUST-SMS)",The Trust Hospital,
"Adu-Nyarko, Pearl","M.B., Ch.B (KNUST-SMS)",Dept of Psychiatry,
"Adu-Poku, Francis","D.D.S (Higher Inst. of Med. Sciences, Cuba),M.G.C.S. (G.C.P.S.)",,"P. O. Box KS 6687, Kumasi"
"Adu-Sarkodee, Catherine N.","M.B., Ch.B (U.G.M.S),M.P.H (UG)",Phoenix Health Insurance Ltd.,
"Adu-Takyi, Charles","M.B., Ch.B (KNUST-SMS),M.G.C.S. (G.C.P.S.)",Dept. of Obs/Gyn,"P. O. Box 1934, Kumasi"
"Adu-Takyi, Christiana","M.B., Ch.B (KNUST-SMS),M.G.C.P (G.C.P.S.)",Dept. of Child Health,"P. O. Box KS 1934, Kumasi"
"Adu-Tutu, Michael",B.D.S (Univ. of Lagos),,"P. O. Box KS 3611, Kumasi"
"Adu, Bennet Appau",B.D.S (UGDS),Dunkwa On Offin Municipal Hospital,
"Adu, Dwomoa","M.B., Ch.B (Cambridge Univ.)",Dialysis Unit,"P. O. Box 77, Korle-Bu, Accra"
"Adu, Emmanuel John Kwaku","M. B., Ch.B ((KNUST-SMS),F.W.A.C.S (WACS)",Dept of Surgery,"P. O. Box KS 1934, Kumasi"
"Adu, Joseph Amoah","M. B., Ch.B ((KNUST-SMS),M.G.C.S (GCPS)",School Of Medical Sciences(UCC) ,
"Adu, Kwame Ofori","M.B., Ch.B (KNUST-SMS)",Komfo Anokye Teaching Hospital,"P. O. Box KS1934, Kumasi"
"Adu, Randolph Baah","M.D (Belarusian State Med. Univ.),Sp. In Obst/Gynae. (North-Wester State Med. Univ.)",Kumasi South Hospital,
"Adu, Samuel Yaw","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",St. Michael’s Hospital,"P. O. Box 10, Jachie-Pramso"
"Adu, Seth","M.B., Ch.B (U.G.M.S),M.R.C.O.G (RCOG, UK)",Cape Coast Teaching Hospital,
"Aduama, David Ernest Mireku","M.D. (Vinnista State Med. Inst., Ukraine),F.W.A.C.S (WACS)",Achimota Hospital,"P. O. Box AC 15,Achimota- Accra"
"Aduama, Svitlana",M.D. (Vinnitsa State Med. Univ.),Nat’l Diabetic Centre,"P. O. Box 77, Korle-Bu, Accra"
"Aduamah, Christian Nyarko","M.D. (Vitebsk Med. Inst., Russia Fed.),M.P.H (UG)",District Health Administration,
"Aduful, Abena Kaare","M.B., Ch.B (U.G.M.S)",Volta Regional Hospital,"P. O. Box MA 374, Ho"
"Aduful, Kwesi Adu","M.B., Ch.B. ( U.G.M.S),M.G.C.P. (G.C.P.S.)",The Trust Hospital Company Ltd. P,
"Adufutse, Michael","M.B., Ch.B (U.GM.S)",37 Military Hospital,
"Adum-Attah, Kofi","M.B., Ch.B. (UCC-SMS)",Cape Coast Teach. Hospital,"P. O. Box CT 1363, Cape Coast"
"Adunah, Serah Kaneh","M.B., Ch.B. (UDS-SMHS),",Tetteh Quarshie Memorial Hospital,
"Adusa-Amankwa, Kwasi Fobi","M.B., Ch.B (U.G.M.S)",Precision Medics Ltd.,"P. O. Box MB 224, Ministries , Accra."
"Aduse-Poku, Abena Yeboah","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box 4946, Kumasi"
"Adusei, Augustine",M.D (Lugansk State Medical University),Nkenkaasu Gov’t Hospital,"P. O. Box 37, Nksu"
"Adusei, Ben","M.B.B.S (Ahmadu Bello Univ.),F.W.A.C.S( WACS)",37 Military Hospital,
"Adusei, Poku Frank",M. D (People’s Friendship Univ.),,"P. O. Box AH 8157 Ahinsan-Kumasi,"
"Adusi-Poku, Yaw","M.B., Ch.B (UGMS),M.P.H. (KNUST),M.G.C.P. (G.C.P.S.)",National TB Control Programme.,
"Adusu-Donkor, Augustine","M.B., Ch.B (U.G.M.S),M.R.C.O.G (RCOG),F.W.A.C.S (WACS)",Ejisu Gov’t. Hospital ,
"Adutwum, Laila Matogah","M.B., Ch.B (UDS-SMHS)",Maternal and Child Health Hospital,
"Adutwum, Prince Barimah","M.B., Ch.B (U.G.-S.M.D)",Eastern Regional Hospital,"P. O. Box 201, Koforidua"
"Aduwia, David Adobasom","M. B., Ch.B. (UDS-SMHS)",St. Theresa’s Hospital,
"Adwedaa, Ebenezer Odei","M.B., Ch.B (U.G.M.S),",Doncaster and Bassetlaw Teaching Hospitals NHS Fondation,
"Adzabe, Nana-Yao","M.B., Ch.B (U.G.-SMD)",Korle Bu Teaching Hospital,
"Adzah, Noble John Kwame Powell",M.D. (Donetsk Nat. Med. Univ.),,"P. O. Box 2018, Teshie Nungua-Accra"
"Adzaku, Festus Komla","M.B., Ch.B (U.G.M.S)",University of Health & Allied Health,
"Adzamli, Innocent Kwashie","M.B., Ch.B (U.G.M.S)",National Cardio Centre,"P. O. Box KB 846, Korle-Bu, Accra"
"Adzigbli, Delali Dodzi Kobla","M.B., Ch.B (U.G.M.S),M.B., Ch.B (U.G.M.S)",37 Military Hospital,
"Afaa, Taiba Jibril","M.B., Ch.B (U.G.M.S),M.W.A.C.P. (Paediatrics) WACP",Dept. of Child Health,"P. O. Box 77, Korle-Bu, Accra"
"Afachao, Frederick Dodzi Kofi","M. B., Ch.B (KNUST-SMS)",District Hospital,
"Afachao, Henry Ofoe","M.D. (Crimea State Med. Inst.),M.G.C.P (GCPS)",Tema General Hospital,"P. O. Box 14, Tema"
"Afake, Hornametor Yao","M.D. (Higher Inst. Med. Sc., Cuba),Dip. In Ophthalmology (WACS)",Bawku Presby Hospital,"P. O. Box 45, Bawku"
"Afari Yeboah, Nana Ama","M.B., Ch.B (U.G.M.S)",Manna Mission Hospital,"P. O. Box 1032, Teshie, Accra"
"Afari, Edwin Andrews","M.D.. (Odessa State Med. Inst., Russia Fed.),D.P.H. (Univ. of Liverpool),D.T.H. (R.C.P., R.C.S., London),D.T.M. & H. (R.C.P., R.C.S., London),F.W.A.C.P (W.A.C.P)",Sch. Of Public Health,"P. O. Box LG 13, Legon"
"Afari, Jonas Awuku","M.B., Ch. B (U.G.M.S),Dip. In Anaesthesia (WACS),M.G.C.S (GCPS)",Dept. of Anaesthesia,"P. O. Box 77, Korle-Bu, Accra"
"Afari, Priscilla","M.B., Ch.B. (KNUST-SMS),M.G.C.P (GCPS",Dept. of Child Health,"P. O. Box KS 1934, Kumasi"
"Afatsao, Samuel Tsatsu K.","M.D.. (Crimea State Med. Inst., Ukraine),Sp. Cert. in Gen. Surgery (Crimea State Med. Inst.),Cert. in Orth. & Trau. Surg. (Crimea State Med. Univ.)",Achimota Hospital,"P. O. Box AH 15, Achimota"
"Afedo, Ludmila Ivanouna",M.D. (Odessa Med. Inst.),Korle Bu Polyclinic,"P. O. Box 77, Korle-Bu, Accra"
"Afedoh, K.J. Hayford","M.B., Ch.B (KNUST-SMS)",KATH,"P. O. Box KS 1934, Kumasi"
"Afeng, Diana Boatemaa","M.B., Ch.B ((KNUST-SMS)",37 Military Hospital,
"Afenyadu, Godwin Yaw","M.B., Ch.B. (U.G.M.S.),M.P.H. (U.G.)",,
"Affare, Benedict James","M.B., Ch.B (U.G.M.S)",Dept. of Obst/Gynae,"P. O. Box 77, Korle-Bu, Accra."
"Affare, Nana Kofi Edu","M.B., Ch.B ((KNUST-SMS)",Dept. of Family Medicine,"P. O. Box KS 1934, Kumasi"
"Afflu, Francis Kwame","M.B., Ch.B (U.G.M.S),M.P.H (Hebrew Univ., Jerusalem)",Pentecost Hospital,"P. O. Box GP 20790, Accra"
"Affo, Rita Larkoh","M.B., Ch.B (U.G.M.S)",Lekma Hospital,
"Affram, Nelson Kosi","M.B., Ch.B (U.G.M.S)",Dept. of Surgery,
"Afful, Augustine Kwame","M.B., Ch.B (KNUST-SMS),M.G.C.P (GCPS)",,"P. O. Box GP 1382, Accra"
"Afful, Esi Fuaba",B.D.S (U.G.-S.M.D),,
"Afful, George Yaw","M.B., Ch.B (U.G.M.S)",The Trust Hospital,
"Afful, Rosemary","M.B., Ch.B (KNUST-SMS)",La General Hospital,
"Afful, Thomas Mensah","M.D. (Volgograd State Med. Inst., Russia Fed.),Dip. Health Care Man. Trop.Count. (Swiss Trop. Inst.),Master of Int. Health (Univ. of Copenhagen, Denmark)",Municipal Health Administration,"P. O. Box 26, Bolga."
"Afi, Joel Duah","M.B., Ch.B. (KNUST-SMS)",KNUST Hospital,
"Aflakpui, Benjamin Ernest","M. D. (Kharkov State Med. Inst.),Sp. Cert. In Med. (Suppreme Attestat. Comm. USSR),Cand. Of Sc. Obst/Gynae (Supreme Attestat. Comm.)",College of Health and Well-Being,
"Afoko, Akisibadek Alekz","M.D. (Rostov State Med. Univ.),Urologist Specialist (Rostov State Med. Univ.)",Tamale Teaching Hospital,"P. O. Box 16, Tamale"
"Afordofe, Edwina Edem","M.B., Ch.B (U.G.M.S)",Lekma Hospital,"P. O. Box KB 731, Korle Bu, Accra"
"Afosah-Anim, Claudia","M.B., Ch.B (U.G.M.S)",Dept. of Child Health,"P. O. Box 77, Korle-Bu, Accra"
"Afram-Darkwah, Cynthia","M.D. (Belgorod State Univ.), 2009",37 Military Hospital,
"Afram, Dickson Yaw",B.D.S (UG-SMD),,"P. O. Box 1840, Accra North"
"Afrane, Joceline Mary","M.B., Ch.B (KNUST-SMS)",Twumasiwaa Medical Centre,
"Afrane, Smith","M.B., Ch.B. (U.G.-S.M.D.)",St. Gregory Catholic Hospital,
"Afreh Nduroh, Kingsley","M.B., Ch.B. (KNUST-SMS)",KATH,"P. O. Box KS 1934, Kumasi"
"Afreh, Osei Kuffour","M.B., Ch.B (KNUST-SMS)",Municipal Health Directorate,"P. O. Box 282, Berekum"
"Afreh, Yaa Achiaa","M.B., Ch.B. (KNUST-SMS)",K.A.T.H. P,"P. O. Box 1934, Kumasi"
"Afrifah, Phillip Adjapong","M.B., Ch.B (KNUST-SMS)",Divine Grace Medical Centre P,"P. O. Box 241, Effiduase-Ashanti"
"Afriyie-Boamah, Lois","M.B., Ch.B (UGMS)",37 Military Hospital,
"Afriyie-Mensah, Jane Sandra","M.B., Ch.B (KNUST-SMS)",Dept. of Medicine,"P. O. Box 77, Korle-Bu, Accra."
"Afriyie, Collins","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box AN 2525 Ash-Town, Kumasi"
"Afriyie, Frances Asantewaa",M.D. (Sidi Mohammed Ben Abdullah University),1608,
"Afriyie, Kwaku","M.B., ChB (U.G.M.S)",,"P. O. Box OS 381, Osu-Accra"
"Afriyie, Kwakye Prince","M.B., Ch.B (KNUST-SMS),Sp. In Gen. Surg. (Bavarian State Med. Council)",Dominase S.D.A Hospital,"P. O. Box 272, ,Bekwai."
"Afriyie, Kwame","M.B., ChB (U.G.M.S)",Greenshield Hospital,"P. O. Box 193, Sefwi Wiaso"
"Afudego, David Edem","M.B., Ch.B (UGMS)",Lekma Hospital,
"Afudego, Mawuena Kofi","M.B., Ch.B (U.G.M.S)",,"P. O. Box CT 2116, Cantonments, Accra"
"Afutu, Leslie Larry","M.B., Ch.B (UGMS)",Cocoa Clinic,"P. O. Box 933, Accra"
"Agala, Dennison Kuma","M.B., Ch.B (KNUST-SMS)",Cape Coast Teaching Hospital,"P. O. Box 1363, Cape Coast"
