n,name,street address,postal_address,road,ghana_gps_address,locality/area,district,region,country,latitude,longitude,rating,local_phone_number,international_phone_number,website,google_maps_url,type,photo_link,
497,Kaneshie Polyclinic,"Homowo Ave, Accra",,"Homowo Ave, Accra",GA-358-5820,Accra,,Greater Accra Region Ghana,Ghana,5.576118,-0.2444038,2.4,246980614,,,Https://Maps.Google.Com/?Cid=14953733962107892204,Hospital,,
499,Korle Bu Teaching Hospital,"Harley St, Guggisberg Avenue, Accra","P. O. Box 77, Korle Bu",,GA-221-3759,"Guggisberg Avenue, Accra",Accra,Greater Accra Region Ghana,Ghana,5.5374063,-0.2273975,4,302739510/0243407809/0506210458/0302674044,+233302674044,http://www.kbth.gov.gh/,Https://Maps.Google.Com/?Cid=8338817547151191590,Hospital,,
500,Sakumono Community Hospital,"Sakumono Broadway, Tema",,,GT-377-9949,Sakumono,Tema,Greater Accra Region Ghana,Ghana,5.6224082,-0.0628871,3.7,303403515,+233303403515,,Https://Maps.Google.Com/?Cid=13413246601355888080,Hospital,,
501,37 Military Hospital,"Liberation Rd, Accra",,"Liberation Rd, Accra",GA-008-1686,,Accra,Greater Accra Region Ghana,Ghana,5.5881219,-0.1833961,4.2,302777595,+233302777595,Http://37Milhosp.Gov.Gh/,Https://Maps.Google.Com/?Cid=12390713163132052553,Hospital,,
503,Divine Mercy Hospital,"Kaka Yan Opoku Street, Kumasi",,"Kaka Yan Opoku Street, Kumasi",AT-1309-0340,"Esereso, Kumasi",Bosomtwe,Ashanti Region Ghana,Ghana,6.6284463,-1.5584255,4,208124460/0322027271,,,Https://Maps.Google.Com/?Cid=11226182771344158263,Hospital,,
511,Methodist Faith Healing Hospital,"Ankaase, Nyamisenade",,,AF-0849-0424,"Opposite Market Square, Ankaase",Afigya Kwabre,Ashanti Region Ghana,Ghana,6.847957,-1.5493971,4,245901995,,Http://Mfhhospital.Org/,Https://Maps.Google.Com/?Cid=9255676744484521847,Hospital,,
512,Abenkyiman Hospital,Ofoase Kokoben,,Kumasi - Yamoransa Rd,AB-0831-1221,Ofoase Kokoben,Adansi North,Ashanti Region Ghana,Ghana,6.4703861,-1.6388538,4.7,268320155/0246103955,+233268320155,,Https://Maps.Google.Com/?Cid=18068994256783676214,Hospital,,
514,"Medlab, Obuasi Diagnostic Centre ",35 Hospital Road,"P. O. Box 1004, Obuasi",Hospital Road Obuasi,AO-017-8700,"Opposite Obuasi Government Hospital, Mensahkrom",Obuasi,Ashanti Region Ghana,Ghana,6.2044373,-1.6848802,,208757799/0322540066,,http://www.medlab.com.gh/,Https://Maps.Google.Com/?Cid=12872089740433669207,Hospital,,
517,Amansie Clinic,"145 Ejisu - Bekwai Rd, Kokofu",,,AB-0405-8872,Essumja,Bekwai,Ashanti Region Ghana,Ghana,6.4951401,-1.55461,3,,,,Https://Maps.Google.Com/?Cid=15636250079517083103,Hospital,,
519,St. Jude Hospital,"62 Stadium Rd, Obuasi",,,AO-016-6260,Obuasi,Obuasi,Ashanti Region Ghana,Ghana,6.2071204,-1.6815352,3.7,262029695/0244488578/0243544128/0208211159,+233244488578,,Https://Maps.Google.Com/?Cid=1687508807308526838,Hospital,,
520,Obuasi Ridge Hospital,"No. 43 Plot, Block A. Ridge",,"Obuasi - Dunkwa-On-Ofin Rd, Obuasi",AO-073-0706,Hospital Lane Accra,Obuasi,Ashanti Region Ghana,Ghana,6.2001812,-1.6930009,3.5,243720089/024063912,,,Https://Maps.Google.Com/?Cid=10289865463771351591,Hospital,,
521,Bryant Mission Hospital & Eye Center,Obuasi,,,AO-187-5516,-Boete-Obuasi,Obuasi,Ashanti Region Ghana,Ghana,6.1916699,-1.6459296,4,248119813,,,Https://Maps.Google.Com/?Cid=15312365307922250207,Hospital,,
523,Obuasi Government Hospital,"34 Hospital Rd, Obuasi",,,AO-017-8879,"Mensahkrom Ramia, Obuasi",Obuasi,Ashanti Region Ghana,Ghana,6.203494,-1.6848578,4.4,206300766,,,Https://Maps.Google.Com/?Cid=5983529029156458195,Hospital,,
538,Juaso District Hospital,"Juaso- Nsawam Rd, Juaso",,"Juaso- Nsawam Rd, Juaso",AA-0013-4132,Juaso,Asante Akim South,Ashanti Region Ghana,Ghana,6.5921768,-1.1210125,4,244690530/0249476872,+233244690530,,Https://Maps.Google.Com/?Cid=17209414285292541496,Hospital,,
540,Tafo Hospital,"Kwadwo Kannin St, Kumasi",,"Kwadwo Kannin St, Kumasi",AK-238-1589,Kumasi,Kumasi,Ashanti Region Ghana,Ghana,6.6666004,-1.6162709,5,0208121083/0244278472,,,Https://Maps.Google.Com/?Cid=14445956411715831050,Hospital,,
541,Frimpong-Boateng Medical Center,"Nkawie Rd, Toase",,Nkawie Road Toase,AH-0039-6245,Toase,Atwima Nwabiagya,Ashanti Region Ghana,Ghana,6.6601467,-1.820757,4,322091640,+233322091640,Http://Www.Frimpongboatengmedicalcenter.Com/,Https://Maps.Google.Com/?Cid=4474517192944245871,Hospital,,
544,New Edubiase Government Hospital,9 Mankessim-Kumasi Rd ,,Kumasi - Yamoransa Rd,A3-0771-0506,"Near Chief'S Palace, New Edubiase",Adansi South,Ashanti Region Ghana,Ghana,6.0544331,-1.3935017,3,244362927,,Http://Www.Ghanahealthservice.Org/,Https://Maps.Google.Com/?Cid=2785903683211715321,Hospital,,
580,Bekwai Municipal Hospital,"Mankessim - Kumasi Rd, Bekwai",,Mankessim - Kumasi Rd,AB-0003-5095,"Opposite Opportunity Bank & Maternity, Bekwai",Bekwai,Ashanti Region Ghana,Ghana,6.455735,-1.578767,4.7,245690366,,,Https://Maps.Google.Com/?Cid=3613116165443906395,Hospital,,
581,Ahwene Memorial Hospital,"Mankessim - Kumasi Rd, Bekwai",,"Mankessim - Kumasi Rd, Bekwai",AB-0010-3380,Nyameduase Bekwai,Bekwai,Ashanti Region Ghana,Ghana,6.4550461,-1.5705608,4,244258127,,,Https://Maps.Google.Com/?Cid=10984752518665289946,Hospital,,
583,"St. Martin's Catholic Hospital, Agroyesum",Agroyesum ,,,AW-0602-1359,"Agroyesum, near Manso Nkwanta ",Amansie West,Ashanti Region Ghana,Ghana,6.4136776,-1.8813509,5,322097042/0244758589,+233322097042,https://www.smhagroyesum.org/,Https://Maps.Google.Com/?Cid=9494950319930754295,Hospital,,
591,A1 Hospital,"Wamase, Kumasi","P.O. Box KS 13711, Adum","Mankessim - Kumasi Rd, Kumasi",AK-653-2846,"Behind Unity Oil, Sankore off Asafo Road",Kumasi,Ashanti Region Ghana,Ghana,6.637714,-1.647109,3.8,500940940/ 0500941941,+233500940940,http://www.a1hospitalgh.com/,Https://Maps.Google.Com/?Cid=9152821131081539371,Hospital,,
619,St Anthony-Ann Maternity Clinic,"Appiadu, Ghana",,,AE-0991-4890,"Appiadu, Ghana",Ejisu Juaben,Ashanti Region Ghana,Ghana,6.6397184,-1.4979859,,322490627,+233322490627,,Https://Maps.Google.Com/?Cid=839153820446211416,Hospital,,
621,UEW Clinic,"Sunyani Rd, Kumasi",,"Sunyani Rd, Kumasi",AK-589-0272,"Sunyani Rd, Kumasi",Kumasi,Ashanti Region Ghana,Ghana,6.6973224,-1.6797411,,,,,Https://Maps.Google.Com/?Cid=14850422858446720233,Hospital,,
626,Tessy Ebenezer Maternity And Clinic,"26 Abrepo Rd, Kumasi",,,AK-086-7581,"Bohyen, Kumasi",Kumasi,Ashanti Region Ghana,Ghana,6.7111962,-1.6405292,5,241967030/0244650669,+233241967030,,Https://Maps.Google.Com/?Cid=9272558499126872385,Hospital,,
649,"Medifem Hospital, Accra","Margaret Anderson Avenue, Accra",,"Margaret Anderson Avenue, Accra",GE-329-1857,"Westlands, Accra",Ga East,Greater Accra Region,Ghana,5.65876,-0.20578,5,302433963/0554110224,,http://medifemhospital.com/,Https://Maps.Google.Com/?Cid=13567110727811735769,Hospital,,
650,Star Of Light Hospital,Sankore Ghana,,,,Sankore,Asunafo South District,"Brong Ahafo Region, Ghana",Ghana,6.5048093,-2.499619,4.7,246972153,+233246972153,,Https://Maps.Google.Com/?Cid=16420602749507745088,Hospital,,
652,"Lifeland Clinic, Konongo","262 Juaso - Konongo Rd, Konongo",,Juaso - Konongo Rd,AC-0002-2062,Abosomtweagya,Asante Akim Central,Ashanti Region Ghana,Ghana,6.6249454,-1.2073261,,267383570,+233267383570,,Https://Maps.Google.Com/?Cid=7988075391422788979,Hospital,,
653,First Klass Hospital,"Imam Mansuru St, Konongo",,"Imam Mansuru St, Konongo",AC-0000-2155,Konongo,Asante Akim Central,Ashanti Region Ghana,Ghana,6.620149,-1.211743,2.5,246399343,+233246399343,,Https://Maps.Google.Com/?Cid=12340676809893588398,Hospital,,
674,Obomeng Community Clinic,"Mpraeso - Obo Rd ,Obo",,"Mpraeso - Obo Road, Obo",EI-0410-7462,,Kwahu South,Eastern Region Ghana,Ghana,6.5934912,-0.7557111,,247333275,,,Https://Maps.Google.Com/?Cid=1354304906260283821,Hospital,,
679,Kumawu Polyclinic,Kumawu-Agogo Rd,,Kumawu-Agogo Rd,AP-1581-9602,Kumawu,Sekyere Afram Plains,Ashanti Region Ghana,Ghana,6.864963,-1.181442,3,244160144,,,Https://Maps.Google.Com/?Cid=2466464098439398685,Hospital,,
681,Asubone Rails Clinic,Asubone Station,,Station Road,EJ-0807-1703,Asubone Station,Kwahu West,Eastern Region Ghana,Ghana,6.4695645,-0.7313415,,209325298,,,Https://Maps.Google.Com/?Cid=17432330979134823316,Hospital,,
682,Konongo Odumasi Government Hospital,"429 Konongo - Ejisu Rd, Konongo",,"Konongo - Ejisu Road, Konongo",AC-0004-9643,,Asante Akim Central,Ashanti Region Ghana,Ghana,6.6240864,-1.2173894,4.6,243840098/0208189879/0244704401,+233243840098,,Https://Maps.Google.Com/?Cid=2977714505226899734,Hospital,,
686,Sister Philipah Maternity Home/Clinic,Mampong,,,AM-0008-9720,Worekese Near Electricity Corporation,Mampong,Ashanti Region Ghana,Ghana,7.0591789,-1.3970055,2,208158745,+233208158745,,Https://Maps.Google.Com/?Cid=14005194619092687445,Hospital,,
690,First Klass Hospital,Konongo - Ejisu Rd Konongo Ghana,,"Konongo - Ejisu Road, Konongo",AC-0065-1548,Konongo,Asante Akim Central,Ashanti Region Ghana,Ghana,6.6198343,-1.2300001,4.7,245400525,+233245400525,,Https://Maps.Google.Com/?Cid=14100040599319470551,Hospital,,
692,St. Joseph Clinic And Maternity Home,"Mpraeso-Adowso Rd, Kwahu Tafo Ghana",,"Mpraeso-Adowso Road, Kwahu Tafo",EI-0442-8461,Tafo,Kwahu South,Eastern Region Ghana,Ghana,6.6518894,-0.6654286,,244683814,,,Https://Maps.Google.Com/?Cid=1742858101350390019,Hospital,,
694,Agogo Presby Hospital,"Konongo-Atebubu Rd, Agogo",,"Konongo-Atebubu Rd, Agogo",AN-0005-3251,Agogo High Street,Asante Akim North,Ashanti Region Ghana,Ghana,6.7952311,-1.0855094,3.7,244538032,,,Https://Maps.Google.Com/?Cid=15141447479615851547,Hospital,,
695,Nat Herbal Clinic,"G82 Agogo-Mpraeso Rd, Nkwatia",,"Agogo-Mpraeso Rd, Nkwatia",EH-0226-3037,Nkwatia-Kwahu,Kwahu East,Eastern Region Ghana,Ghana,6.6418254,-0.7442308,4.5,209531632/0244165142/0203057071/0268535170,+233209531632,http://www.natherbal.com/,Https://Maps.Google.Com/?Cid=3128868721618180308,Hospital,,
700,Bonwire Saviour Clinic,"2300 Effiduasi-Ejisu Rd, Juaben",,Effiduasi-Ejisu Rd,AE-0673-6778,Kwabere,Ejisu Juaben,Ashanti Region Ghana,Ghana,6.7874623,-1.4791662,5,"244011000,",,,Https://Maps.Google.Com/?Cid=18099920350774102752,Hospital,,
716,Agyakwa Hospital,Nkawkaw,,,EJ-0042-0047,Nkawkaw,Kwahu West,Eastern Region Ghana,Ghana,6.5389154,-0.7680368,5,243002484/0244672756,+233243002484,,Https://Maps.Google.Com/?Cid=6191434190233202989,Hospital,,
720,Soafa Herbals,"Kibi-Juaso, Nkawkaw","P.O.BOX NK 213, Nkawkaw","Kibi-Juaso, Nkawkaw",EJ-0101-9022,"Kibi-Juaso, Nkawkaw",Kwahu West,Eastern Region Ghana,Ghana,6.5333132,-0.75051,2.5,277596366/0244572739,+233277596366,https://soafaherbals.com/,Https://Maps.Google.Com/?Cid=11467827630924535997,Hospital,,
741,Garden City Hospital,"Benarko Rd, Kumasi","P.O Box AS 533, Kumasi","Benarko Rd, Kumasi",AS-000-9787,Near Kumasi Academy And Garden City Special School,Asokore Mampong,Ashanti Region Ghana,Ghana,6.7114729,-1.5676942,4.5,322072126/0203232511,,,Https://Maps.Google.Com/?Cid=4027984985942019805,Hospital,,
761,Abura Dunkwa District Hospital,Abura Dunkwa,,,CA-0004-3493,Abura Dunkwa,Abura Asebu Kwamankese,Central Region,Ghana,5.345422,-1.170747,5,332191427/0244981308,,,Https://Maps.Google.Com/?Cid=1548944106115533382,Hospital,,
767,Adisadel Hospital,"152 Jukwa Rd, Cape Coast",,"Jukwa Road, Cape Coast",CC-054-7672,Cape Coast,Abura Asebu Kwamankese,Central Region,Ghana,5.1193406,-1.2676961,4,242560051,,,Https://Maps.Google.Com/?Cid=8157722904467372130,Hospital,,
771,Edu Herbal Clinic,"13 Mankessim - Ajumako Rd, Mankessim",,Mankessim - Ajumako Rd,CM-0449-9080,Mankessim,Mfantseman,Central Region,Ghana,5.2728442,-1.0155384,1,243989368,+233243989368,,Https://Maps.Google.Com/?Cid=14364028887251008452,Hospital,,
772,"Metropolitan Hospital, Cape Coast","24 Beulah Rd, Cape Coast",,Beulah Road Cape Coast,CC-038-5792,Cape Coast,Cape Coast,Central Region,Ghana,5.1022517,-1.2595597,3,208115580,,,Https://Maps.Google.Com/?Cid=15134769420482879745,Hospital,,
774,Mercy Women's Catholic Hospital,Mankessim,,,CF-0696-9805,Mankessim,Ekumfi,Central Region,Ghana,5.2559606,-1.0151688,5,243716508,,,Https://Maps.Google.Com/?Cid=5656256567178510993,Hospital,,
775,Anomabo Health Center,Accra - Cape Coast Rd,,Accra - Cape Coast Rd,CM-0409-8636,Anomabo,Mfantseman,Central Region,Ghana,5.1762902,-1.1324896,,205527450,,Http://Www.Moh.Gov.Gh/,Https://Maps.Google.Com/?Cid=12633543990831699341,Hospital,,
776,Elmina Urban Health Centre,"Cape Coast - Takoradi Rd, Elmina",,"Cape Coast - Takoradi Rd, Elmina",CK-0023-8010,"Tetrem, Elmina",Komenda Edina Eguafo,Central Region,Ghana,5.0985529,-1.3483572,3.7,208163448,,,Https://Maps.Google.Com/?Cid=8408143595653225028,Hospital,,
778,"St Joseph Clinic, Agona Swedru","Ahmadiyya St, Agona Swedru",,"Ahmadiyya St, Agona Swedru",CO-0013-9195,Agona Swedru,Agona West,Central Region,Ghana,5.543544,-0.7010886,,,,,Https://Maps.Google.Com/?Cid=2895489399373667107,Hospital,,
779,"University Clinic, Winneba",Winneba,,,CE-093-7424,Winneba,Effutu,Central Region,Ghana,5.3693249,-0.6299808,3.5,289552568/0244626223,,,Https://Maps.Google.Com/?Cid=14147850614736777010,Hospital,,
780,HY Life Sciences & Diagnostic Center,"Cape Coast - Takoradi Rd, Cape Coast Castle",,"Cape Coast - Takoradi Rd, Cape Coast Castle",CC-124-7892,Opposite UCC Primary School,Cape Coast,Central Region,Ghana,5.1022264,-1.2810659,,262000271,,,Https://Maps.Google.Com/?Cid=16230150771460899783,Hospital,,
781,Ewim Polyclinic,"Rowe Road, Cape Coast",,"Rowe Road, Cape Coast",CC-002-0162,"Ewim Nurses Flat Governor , Cape Coast",Cape Coast,Central Region,Ghana,5.114384,-1.24408,4,244724069,,,Https://Maps.Google.Com/?Cid=2841759241671358752,Hospital,,
783,"Lims Clinic, Agona Swedru","Opanyin Agbesie Street, Pipetank, Agona Swedru",,"Opanyin Agbesie Street, Pipetank, Agona Swedru",CP-0858-3369,Opanyin Agbesie Street Pipetank,Agona East,Central Region,Ghana,5.5468727,-0.690185,4.2,244704324,+233244704324,,Https://Maps.Google.Com/?Cid=11247658644573753751,Hospital,,
797,La General Hospital,"933 Jomo St, Accra",,"Jomo Street, Accra",GL-006-9066,Jomo Street Accra,La Dade-Kotopon,Greater Accra Region,Ghana,5.5557412,-0.1665974,3.9,0244270320/0243155218/0302777644,,,Https://Maps.Google.Com/?Cid=7576932423148833690,Hospital,,
803,"Rabito Clinic, Osu","12 Adjoate St, Accra",,"Adjoate St, Accra",GA-035-8884,"Danquah Circle, Behind Koala Shopping Centre",Accra,Greater Accra Region,Ghana,5.56553,-0.180173,3.9,302774526/0546548476,+233302774526,https://www.rabitoclinic.com/,Https://Maps.Google.Com/?Cid=15314580006805182548,Hospital,,
812,Mamobi General Hospital,"Abu Rd, Accra",,,GA-021-6764,Accra,Accra,Greater Accra Region,Ghana,5.5915956,-0.1990816,3.2,240898458,+233240898458,,Https://Maps.Google.Com/?Cid=9149498901123259595,Hospital,,
830,"Medlab Ghana, Roman Ridge","PMB 31 Kanda, 17 Ridge Road",,,,Ridge Road Accra,Accra,Greater Accra Region,Ghana,5.601571,-0.192861,4,302763580/0302769680/0302776844,+233302763580,http://www.medlab.com.gh/,Https://Maps.Google.Com/?Cid=7956291962864562162,Hospital,,
,"Medlab Ghana, Korle Bu","37 Guggisberg Ave, Accra",,,,Near Korle-bu Teaching Hospital,,Greater Accra Region,Ghana,,,,302689956,,http://www.medlab.com.gh/,,,,
,"Medlab Ghana, Ahodwo",,,,,,,Ashanti Region,Ghana,,,,322029724/0322029725,,http://www.medlab.com.gh/,,,,
,"Medlab Ghana, Bantama",,,,,"At Silver Crest Building, Bantama",,Ashanti Region,Ghana,,,,322043653/0203071898,,http://www.medlab.com.gh/,,,,
,"Medlab Ghana, Tema",,,,,"Vermont Plaza Building Hospital Road, Community 6, Tema",,Greater Accra Region,Ghana,,,,303214694,,http://www.medlab.com.gh/,,,,
,"Medlab Ghana, Takoradi","Chapel Hill, Takoradi",,Shippers Rd.,,"Adjoa Aframa Mall, Opp. Hasaacas Park",,Western Region,Ghana,,,,312028383/0201610863,,http://www.medlab.com.gh/,,,,
,"Medlab Ghana, Koforidua","Hospital Road, Koforidua",,,EN-011-3478,"FDA Building, Hospital Road, Near the Regional Hospital",New Juaben,Eastern Region,Ghana,6.095604,-0.25896,,307085873,,http://www.medlab.com.gh/,"https://www.google.com/maps/place/Medlab+Ghana,Koforidua/@6.0956036,-0.2589599,15z/data=!4m5!3m4!1s0x0:0x32582eb2adce968b!8m2!3d6.0956036!4d-0.2589599",,,
833,Iom Migration Health Assessment Centre (Mhac),"17 Ridge Rd, Accra",,17 Ridge Road Accra,GA-060-0484,,Accra,Greater Accra Region,Ghana,5.6015189,-0.1929498,3.9,307012051,+233307012051,http://www.iom.int/,Https://Maps.Google.Com/?Cid=8818388826714027725,Hospital,,
834,Emmanuel Eye Medical Centre,"Hse No. 2, Adamfio Link, East Legon","P.O Box GP 8967, Accra","Hse No. 2, Adamfio Link, East Legon",GA-288-1527,"Shiashie, East Legon",Accra,Greater Accra Region,Ghana,5.630426,-0.174465,3.5,302500578/0244714473,+233302500578,http://www.lukemissions.org/emmanuel-eye-centre/,Https://Maps.Google.Com/?Cid=11622090934089569692,Hospital,,
844,Obaatan Pa Women's Hospital,"Apamtse St, Accra",,"Apamtse St, Accra",GA-287-4640,"Apamtse St, Accra",Accra,Greater Accra Region,Ghana,5.6310055,-0.1685739,4.3,203766348,+233203766348,,Https://Maps.Google.Com/?Cid=1327104920007101644,Hospital,,
892,Gracegift Herbal Clinic,"Kumasi-Sunyani Rd, Kumasi",,Kumasi-Sunyani Rd,AH-0840-1768,,Atwima Nwabiagya,Ashanti Region,Ghana,6.7285933,-1.7284833,,246518003,+233246518003,,Https://Maps.Google.Com/?Cid=8596184979214424071,Hospital,,
938,Sanford World Clinic Adenta,No 208 Powerland Junction Adenta Ghana,,,,No 208 Powerland Junction Adenta,Adentan,Greater Accra Region,Ghana,5.687275,-0.176456,,302974161,+233302974161,Http://Www.Sanfordhealth.Org/Locations/Sanford-World-Clinic-Adenta,Https://Maps.Google.Com/?Cid=10725895083981275865,Hospital,,
942,Mother-Love Hospital,3 Motherlove Street Adenta Ghana,,,,3 Motherlove Street Adenta,Adentan,Greater Accra Region,Ghana,5.603715,-0.186963,3.6,299375028,+233299375028,Https://Motherlovehospital.Com/,Https://Maps.Google.Com/?Cid=11243345438656055322,Hospital,,
945,Pantang Hospital,Adenta Municipality 23321 Ghana,,,,Adenta Municipality,Adentan,Greater Accra Region,Ghana,5.7181055,-0.1881358,3.3,303972322,+233303972322,Http://Pantanghospital.Gov.Gh/,Https://Maps.Google.Com/?Cid=11248596208722280393,Hospital,,
951,Mother-Love Hospital,Mother Love Hospital Adenta Municipality Greater Accra Adenta Municipality Ghana,,,,Mother Love Hospital Adenta Municipality Greater Accra,Adentan,Greater Accra Region,Ghana,5.7166528,-0.1662613,4.4,201424011,+233201424011,Http://Mother-Love-Hospital.Business.Site/,Https://Maps.Google.Com/?Cid=15999914940809178325,Hospital,,
953,Madina Polyclinic-Kekele,Madina Ghana,,,,Madina,Adentan,Greater Accra Region,Ghana,5.678936,-0.1674932,2.8,302942376,+233302942376,,Https://Maps.Google.Com/?Cid=1574194191535378820,Hospital,,
956,Pentecost Hospital,Madina Ghana,,,,Madina,Adentan,Greater Accra Region,Ghana,5.6641505,-0.157418,4.6,302508396,+233302508396,Http://Www.Pentecosthospital.Com/,Https://Maps.Google.Com/?Cid=16251217818870437699,Hospital,,
961,The Vet'S Place,Forestry Commission Of Ghana Aggrey St Achimota Ghana,,,,Forestry Commission Of Ghana Aggrey Street Achimota,Adentan,Greater Accra Region,Ghana,5.6175303,-0.2162882,4,303972668,+233303972668,Http://Www.Thevetsplaceghana.Com/,Https://Maps.Google.Com/?Cid=17124838709413409764,Hospital,,
966,Center For Cosmetic Surgery Ghana,16 Kofi Annan St Accra Ghana,,,,16 Kofi Annan Street Accra,Adentan,Greater Accra Region,Ghana,5.617534,-0.1788068,4.1,267574244,+233267574244,Http://Www.Ccsghana.Com/,Https://Maps.Google.Com/?Cid=12321060901036749240,Hospital,,
970,Oracare Dental Clinic,Adenta Shopping Mall Adenta Housing Down Ghana,,,,Adenta Shopping Mall Adenta Housing Down,Adentan,Greater Accra Region,Ghana,5.7056515,-0.1486018,3,244263955,+233244263955,Http://Www.Facebook.Com/Oracaredentalgh,Https://Maps.Google.Com/?Cid=2773819677755685665,Hospital,,
979,Amen Scientific Herbal Hospital,Accra Ghana,,,,Accra,Adentan,Greater Accra Region,Ghana,5.6432886,-0.222512,4,244227192,+233244227192,Http://Www.Amenscientificherbalhospital.Com/,Https://Maps.Google.Com/?Cid=10782105360201434397,Hospital,,
982,Mds-Lancet Laboratories Ghana Limited,27 Museru Rd Accra Ghana,,27 Museru Road Accra,,,Adentan,Greater Accra Region,Ghana,5.6362938,-0.1730829,4.2,302610480,+233302610480,Http://Www.Mds-Lancet.Com/,Https://Maps.Google.Com/?Cid=2212856604562108971,Hospital,,
983,St Andrews Clinic,Nortei Ababio St Accra Ghana,,,,Nortei Ababio Street Accra,Adentan,Greater Accra Region,Ghana,5.6079244,-0.1879585,,302761188,+233302761188,,Https://Maps.Google.Com/?Cid=10268193424365995440,Hospital,,
986,Passion Clinic,Madina Ghana,,,,Madina,Adentan,Greater Accra Region,Ghana,5.6732339,-0.1520477,4.5,205366213,+233205366213,,Https://Maps.Google.Com/?Cid=5192383457137873160,Hospital,,
992,Boswan Health Clinic,Ghana,,,,Ghana,Adentan,Greater Accra Region,Ghana,5.6847315,-0.1380064,4,,,,Https://Maps.Google.Com/?Cid=11200180926064584621,Hospital,,
993,Abokobi Health Centre,Ghana,,,,Ghana,Adentan,Greater Accra Region,Ghana,5.7350713,-0.2045345,4,242952350,+233242952350,,Https://Maps.Google.Com/?Cid=2870393561534907845,Hospital,,
995,Lapaz Community Hospital Annex,Dome Road Accra Ghana,,Dome Road Accra,,,Adentan,Greater Accra Region,Ghana,5.6353843,-0.2152522,4.2,,,,Https://Maps.Google.Com/?Cid=11565221668836360277,Hospital,,
996,Yeboah Hospital,Accra Ghana,,,,Accra,Adentan,Greater Accra Region,Ghana,5.6324681,-0.1522133,4.9,504466550,+233504466550,Http://Www.Yeboahhospital.Com/,Https://Maps.Google.Com/?Cid=9622474017177068211,Hospital,,
997,Bemuah Royal Hospital,17 Asoyi Cres Accra Ghana,,,,17 Asoyi Crescent Accra,Adentan,Greater Accra Region,Ghana,5.6451117,-0.157587,4.6,540257873,+233540257873,,Https://Maps.Google.Com/?Cid=6223327943574875249,Hospital,,
998,District Hospital,Tepa - Goaso Rd Tepa Ghana,,Tepa - Goaso Road Tepa,,,Ahafo Ano North,Ashanti Region,Ghana,7.0037008,-2.1665382,4.5,,,,Https://Maps.Google.Com/?Cid=12473929242775978478,Hospital,,
1014,St. Patrick'S Hospital,Ofinso Ghana,,,,Ofinso,Ahafo Ano South,Ashanti Region,Ghana,6.9313767,-1.6818178,5,322020337,+233322020337,,Https://Maps.Google.Com/?Cid=16048213438704639005,Hospital,,
1089,New Age Clinic,Tamso Tarkwa Ghana,,,,Tamso Tarkwa,Ahanta West,Western Region,Ghana,5.2733385,-2.0025873,,241841410,+233241841410,,Https://Maps.Google.Com/?Cid=13981255675497623258,Hospital,,
1097,Ashiyie Community Clinic,Ashiyie Ghana,,,,Ashiyie,Akuapem North,Eastern Region,Ghana,5.7456162,-0.1546659,,,,,Https://Maps.Google.Com/?Cid=262807259723574906,Hospital,,
1099,C4C Homeopathic Clinic,Koforidua Ghana,,,,Koforidua,Akuapem North,Eastern Region,Ghana,6.0604655,-0.2549735,,500040328,+233500040328,Http://C4Cmedicals.Com/,Https://Maps.Google.Com/?Cid=9320777109269188786,Hospital,,
1100,Stadtlohn Bezaleel Clinic,First Flor Ssnit Building Koforidua Ghana,,,,First Flor Ssnit Building Koforidua,Akuapem North,Eastern Region,Ghana,6.0925007,-0.2600863,,244403095,+233244403095,Http://Www.Stadtlohnclinicgh.Com/,Https://Maps.Google.Com/?Cid=4815942302261277955,Hospital,,
1109,Medi-Moses Prostrate Center,Adenta Municipality Ghana,,,,Adenta Municipality,Akuapem North,Eastern Region,Ghana,5.7107318,-0.1731698,3,244068447,+233244068447,Http://Www.Medimoses.Com/,Https://Maps.Google.Com/?Cid=9450009544860346553,Hospital,,
1110,Shai Osudoku District Hospital,Dodowa Ghana,,,,Dodowa,Akuapem North,Eastern Region,Ghana,5.8991353,-0.0916083,4.3,,,Http://Shaiosudokudistricthospital.Org.Gh/,Https://Maps.Google.Com/?Cid=13028928416550469860,Hospital,,
1111,Shai-Osudoku District Hospital,Ayikuma Road Dodowa Ghana,,,,Ayikuma Road Dodowa,Akuapem North,Eastern Region,Ghana,5.8997389,-0.0914454,4.5,,,,Https://Maps.Google.Com/?Cid=6930928488609758446,Hospital,,
1116,Universal Bethsda Clinic,Madina Ghana,,,,Madina,Akuapem North,Eastern Region,Ghana,5.6856992,-0.1377069,,,,,Https://Maps.Google.Com/?Cid=13445218346606961307,Hospital,,
1117,Peace Be Clinic,Ashalley-Botwe Madina Ghana,,,,Ashalley-Botwe Madina,Akuapem North,Eastern Region,Ghana,5.6846611,-0.1452175,5,,,,Https://Maps.Google.Com/?Cid=14563206389370566181,Hospital,,
1119,Eden Clinic,"5°40'48.5""N 0°09'00. 8Th Ave Accra Ghana",,,,"5°40'48.5""N 0°09'00. 8Th Avenue Accra",Akuapem North,Eastern Region,Ghana,5.680132,-0.150209,,248616752,+233248616752,Http://Www.Edenclinicghana.Com/,Https://Maps.Google.Com/?Cid=1676952702533987212,Hospital,,
